Christmas 2025 w/ Horn,,Merry Christmas in the Snowy Fields 2020,,Lotto Drop Bonus:,,12,,Apple AP Buyback?:,X,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Novice,25.13,30,215,Lotto,12,,3.834,2.453,,6555,Vestige of Madness,20.32,123.7,AP,0.241,0.180,,6527,Deadly Poison Needle,11.23,223.8,AP,0.136,0.083,,6107,Magic Gem of Berserker,5.35,469.7,AP,0.047,,,7007,Berserker Piece,12.83,195.9,AP,0.099,,,6007,Gem of Berserker,13.37,188.0,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",96,"28,925",,,24.3,6.1,6.2,154.9,,6519,Warhorse's Young Horn,32.450,77.4,AP,1.112,0.672,,6526,Shell of Reminiscense,32.450,77.4,AP,0.599,0.373,,6514,Homunculus Baby,32.450,77.4,AP,0.586,0.429,,6534,Mystic Gunpowder,48.675,51.6,AP,0.531,0.327,,6533,Stake of Wailing Night,48.675,51.6,AP,0.531,0.331,,6549,Small Bell of Absolution,8.599,292.2,AP,0.099,0.058,,6005,Gem of Caster,5.192,484.0,AP,0.017,,,,,,,,,,,,6005,Gem of Caster,5.192,,,,,,-1,Blue Gems,32.450,,-6,XP,486.8
Intermediate,28.56,35,415,Lotto,12,,4.594,2.905,,6545,Divine Leyline Spiritron,17.56,162.6,AP,0.283,0.174,,6508,Ghost Lantern,18.05,158.2,AP,0.289,0.184,,6006,Gem of Assassin,26.59,107.4,AP,0.068,,,7006,Assassin Piece,14.63,195.2,AP,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",154,"33,647",,,30.5,8.2,4.7,133.1,,6519,Warhorse's Young Horn,42.900,66.6,AP,1.293,0.782,,6526,Shell of Reminiscense,42.900,66.6,AP,0.697,0.433,,6514,Homunculus Baby,42.900,66.6,AP,0.682,0.499,,6534,Mystic Gunpowder,64.350,44.4,AP,0.617,0.380,,6533,Stake of Wailing Night,64.350,44.4,AP,0.617,0.386,,6549,Small Bell of Absolution,11.369,251.2,AP,0.115,0.067,,6005,Gem of Caster,6.864,416.1,AP,0.019,,,,,,,,,,,,6005,Gem of Caster,6.864,,,,,,-1,Blue Gems,42.900,,-6,XP,643.5
Advanced,32.3,40,615,Lotto,12,,4.862,3.112,,6535,Eternal Ice,48.16,67.1,AP,0.610,0.418,,6101,Magic Gem of Saber,18.21,177.4,AP,0.125,,,7101,Saber Monument,11.03,292.8,AP,0.169,,,6001,Gem of Saber,22.94,140.8,AP,0.053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",198,"35,576",,,35.6,9.9,3.9,125.9,,6519,Warhorse's Young Horn,51.300,63.0,AP,1.367,0.827,,6526,Shell of Reminiscense,51.300,63.0,AP,0.737,0.458,,6514,Homunculus Baby,51.300,63.0,AP,0.721,0.528,,6534,Mystic Gunpowder,76.950,42.0,AP,0.653,0.402,,6533,Stake of Wailing Night,76.950,42.0,AP,0.653,0.408,,6549,Small Bell of Absolution,13.595,237.6,AP,0.122,0.071,,6005,Gem of Caster,8.208,393.5,AP,0.021,,,,,,,,,,,,6005,Gem of Caster,8.208,,,,,,-1,Blue Gems,51.300,,-6,XP,769.5
Expert,31.07,40,815,Lotto,12,,6.178,3.893,,6553,Sun Leather,22.08,140.7,AP,0.318,0.232,,6511,Forbidden Page,21.62,143.7,AP,0.424,0.212,,6516,Evil Bone,50.64,61.4,AP,0.303,0.198,,6205,Secret Gem of Caster,14.68,211.6,AP,0.234,,,7105,Caster Monument,4.74,655.5,AP,0.074,,,6107,Magic Gem of Berserker,16.88,184.1,AP,0.120,,,7107,Berserker Monument,3.12,995.8,AP,0.048,,,6007,Gem of Berserker,17.11,181.6,AP,0.038,,,7106,Assassin Monument,6.13,506.9,AP,0.095,,,7104,Rider Monument,3.93,790.6,AP,0.062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",270,"42,933",,,35.7,11.9,3.4,104.3,,6519,Warhorse's Young Horn,59.550,52.2,AP,1.650,0.998,,6526,Shell of Reminiscense,59.550,52.2,AP,0.889,0.553,,6514,Homunculus Baby,59.550,52.2,AP,0.870,0.637,,6534,Mystic Gunpowder,89.325,34.8,AP,0.788,0.485,,6533,Stake of Wailing Night,89.325,34.8,AP,0.788,0.492,,6549,Small Bell of Absolution,15.781,196.9,AP,0.147,0.086,,6005,Gem of Caster,9.528,326.1,AP,0.025,,,,,,,,,,,,6005,Gem of Caster,9.528,,,,,,-1,Blue Gems,59.550,,-6,XP,893.3
Powder: Day 1,28.67,40,915,Lotto 1,12,,8.919,5.527,,6529,Cursed Beast Gallstone,21.61,132.7,AP,1.185,0.612,,6535,Eternal Ice,22.75,126.0,AP,0.325,0.223,,6551,Twilit Ritual Sword,34.99,81.9,AP,0.354,0.222,,6205,Secret Gem of Caster,21.99,130.4,AP,0.380,,,7105,Caster Monument,21.22,135.1,AP,0.360,,,6105,Magic Gem of Caster,17.21,166.6,AP,0.106,,,6005,Gem of Caster,16.63,172.4,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",328,"59,028",,,45.3,15.1,2.6,75.9,,6519,Warhorse's Young Horn,75.550,37.9,AP,2.269,1.372,,6526,Shell of Reminiscense,75.550,37.9,AP,1.223,0.760,,6514,Homunculus Baby,75.550,37.9,AP,1.196,0.876,,6534,Mystic Gunpowder,113.325,25.3,AP,1.083,0.667,,6533,Stake of Wailing Night,113.325,25.3,AP,1.083,0.676,,6549,Small Bell of Absolution,20.021,143.2,AP,0.202,0.118,,6005,Gem of Caster,12.088,237.2,AP,0.034,,,,,,,,,,,,6005,Gem of Caster,12.088,,,,,,-1,Blue Gems,75.550,,-6,XP,1133.3
Flake: Day 1,27.65,40,"1,098",Lotto 1,12,,9.747,6.095,,6519,Warhorse's Young Horn,31.54,87.7,AP,0.982,0.594,,6526,Shell of Reminiscense,29.12,95.0,AP,0.489,0.304,,6503,Proof of Hero,45.27,61.1,AP,0.306,0.149,,6101,Magic Gem of Saber,31.13,88.8,AP,0.249,,,7101,Saber Monument,26.02,106.3,AP,0.466,,,6001,Gem of Saber,27.99,98.8,AP,0.076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",408,"66,673",,,49.4,16.5,2.4,67.2,,6519,Warhorse's Young Horn,82.300,33.6,AP,2.563,1.550,,6526,Shell of Reminiscense,82.300,33.6,AP,1.381,0.859,,6514,Homunculus Baby,82.300,33.6,AP,1.351,0.989,,6534,Mystic Gunpowder,123.450,22.4,AP,1.223,0.753,,6533,Stake of Wailing Night,123.450,22.4,AP,1.223,0.764,,6549,Small Bell of Absolution,21.810,126.8,AP,0.228,0.133,,6005,Gem of Caster,13.168,210.0,AP,0.039,,,,,,,,,,,,6005,Gem of Caster,13.168,,,,,,-1,Blue Gems,82.300,,-6,XP,1234.5
Powder: Day 2,28.64,40,915,Lotto 1,12,,8.803,5.539,,6528,Primordial Lanugo,26.72,107.2,AP,0.970,0.575,,6538,Soundless Bell,24.38,117.5,AP,0.393,0.234,,6535,Eternal Ice,25,114.6,AP,0.357,0.245,,6204,Secret Gem of Rider,20.31,141.0,AP,0.521,,,7104,Rider Monument,17.97,159.4,AP,0.309,,,6104,Magic Gem of Rider,15.31,187.1,AP,0.115,,,6004,Gem of Rider,16.72,171.3,AP,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",328,"59,246",,,45.5,15.2,2.6,75.6,,6519,Warhorse's Young Horn,75.750,37.8,AP,2.277,1.377,,6526,Shell of Reminiscense,75.750,37.8,AP,1.227,0.763,,6514,Homunculus Baby,75.750,37.8,AP,1.201,0.879,,6534,Mystic Gunpowder,113.625,25.2,AP,1.087,0.669,,6533,Stake of Wailing Night,113.625,25.2,AP,1.087,0.679,,6549,Small Bell of Absolution,20.074,142.7,AP,0.203,0.118,,6005,Gem of Caster,12.120,236.3,AP,0.034,,,,,,,,,,,,6005,Gem of Caster,12.120,,,,,,-1,Blue Gems,75.750,,-6,XP,1136.3
Flake: Day 2,27.64,40,"1,098",Lotto 1,12,,9.607,6.027,,6550,Scale of Fantasy,49.82,55.5,AP,0.835,0.515,,6508,Ghost Lantern,28.76,96.1,AP,0.476,0.303,,6503,Proof of Hero,46.46,59.5,AP,0.314,0.153,,6103,Magic Gem of Lancer,16.48,167.7,AP,0.120,,,7103,Lancer Monument,26.55,104.1,AP,0.459,,,6003,Gem of Lancer,28.77,96.1,AP,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",408,"66,779",,,49.4,16.5,2.4,67.1,,6519,Warhorse's Young Horn,82.400,33.5,AP,2.567,1.553,,6526,Shell of Reminiscense,82.400,33.5,AP,1.383,0.860,,6514,Homunculus Baby,82.400,33.5,AP,1.353,0.991,,6534,Mystic Gunpowder,123.600,22.4,AP,1.225,0.754,,6533,Stake of Wailing Night,123.600,22.4,AP,1.225,0.765,,6549,Small Bell of Absolution,21.836,126.6,AP,0.228,0.133,,6005,Gem of Caster,13.184,209.6,AP,0.039,,,,,,,,,,,,6005,Gem of Caster,13.184,,,,,,-1,Blue Gems,82.400,,-6,XP,1236.0
Powder: Day 3,28.83,40,915,Lotto 2,12,,8.821,5.554,,6548,Flaming Oni Lantern Plant,20.75,138.9,AP,1.129,0.692,,6547,Ball of Rainbow Thread,26.12,110.4,AP,0.414,0.253,,6551,Twilit Ritual Sword,36.14,79.8,AP,0.364,0.228,,6201,Secret Gem of Saber,23.26,123.9,AP,0.558,,,7101,Saber Monument,18.78,153.5,AP,0.322,,,6101,Magic Gem of Saber,16.82,171.4,AP,0.129,,,6001,Gem of Saber,17.89,161.2,AP,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",326,"57,845",,,44.7,14.9,2.7,77.4,,6519,Warhorse's Young Horn,74.450,38.7,AP,2.223,1.345,,6526,Shell of Reminiscense,74.450,38.7,AP,1.198,0.745,,6514,Homunculus Baby,74.450,38.7,AP,1.172,0.858,,6534,Mystic Gunpowder,111.675,25.8,AP,1.061,0.654,,6533,Stake of Wailing Night,111.675,25.8,AP,1.061,0.663,,6549,Small Bell of Absolution,19.729,146.1,AP,0.198,0.115,,6005,Gem of Caster,11.912,242.0,AP,0.033,,,,,,,,,,,,6005,Gem of Caster,11.912,,,,,,-1,Blue Gems,74.450,,-6,XP,1116.8
Flake: Day 3,27.62,40,"1,098",Lotto 2,12,,9.890,6.113,,6546,Fruit of Eternity,30.78,89.7,AP,1.024,0.516,,6545,Divine Leyline Spiritron,29.21,94.6,AP,0.488,0.299,,6527,Deadly Poison Needle,34.55,79.9,AP,0.380,0.232,,6103,Magic Gem of Lancer,32.47,85.1,AP,0.236,,,7103,Lancer Monument,25.83,106.9,AP,0.447,,,6003,Gem of Lancer,26.81,103.0,AP,0.082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",408,"66,908",,,49.5,16.5,2.4,67.0,,6519,Warhorse's Young Horn,82.500,33.5,AP,2.572,1.556,,6526,Shell of Reminiscense,82.500,33.5,AP,1.386,0.862,,6514,Homunculus Baby,82.500,33.5,AP,1.356,0.993,,6534,Mystic Gunpowder,123.750,22.3,AP,1.228,0.756,,6533,Stake of Wailing Night,123.750,22.3,AP,1.228,0.767,,6549,Small Bell of Absolution,21.863,126.3,AP,0.229,0.133,,6005,Gem of Caster,13.200,209.2,AP,0.039,,,,,,,,,,,,6005,Gem of Caster,13.200,,,,,,-1,Blue Gems,82.500,,-6,XP,1237.5
Powder: Day 4,28.75,40,915,Lotto 2,12,,8.874,5.560,,6544,Fragment of a Twinkling Star,22.02,130.6,AP,1.150,0.674,,6543,Crown of Silvery Light,22.85,125.8,AP,0.399,0.228,,6535,Eternal Ice,23.96,120.0,AP,0.341,0.234,,6204,Secret Gem of Rider,20.72,138.8,AP,0.529,,,7104,Rider Monument,23.5,122.3,AP,0.403,,,6104,Magic Gem of Rider,33.02,87.1,AP,0.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",327,"58,435",,,45.0,15.0,2.7,76.7,,6519,Warhorse's Young Horn,75.000,38.3,AP,2.246,1.359,,6526,Shell of Reminiscense,75.000,38.3,AP,1.210,0.753,,6514,Homunculus Baby,75.000,38.3,AP,1.184,0.867,,6534,Mystic Gunpowder,112.500,25.6,AP,1.072,0.660,,6533,Stake of Wailing Night,112.500,25.6,AP,1.072,0.670,,6549,Small Bell of Absolution,19.875,144.7,AP,0.200,0.117,,6005,Gem of Caster,12.000,239.6,AP,0.034,,,,,,,,,,,,6005,Gem of Caster,12.000,,,,,,-1,Blue Gems,75.000,,-6,XP,1125.0
