Christmas 2025 w/ Crown,,Merry Christmas in the Snowy Fields 2025,,Lotto Drop Bonus:,,8,,Apple AP Buyback?:,X,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,BP,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,QP,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Novice,26.35,30,215,Lotto,8,,2.182,1.456,,6555,Vestige of Madness,20.32,129.7,AP,0.23,0.171,,6527,Deadly Poison Needle,11.23,234.6,AP,0.13,0.079,,6107,Magic Gem of Berserker,5.35,492.5,AP,0.045,,,7007,Berserker Piece,12.83,205.4,AP,0.094,,,6007,Gem of Berserker,13.37,197.1,AP,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",91,"20,683",,,24.3,6.1,8.2,216.6,,6543,Crown of Silvery Light,24.33,108.3,AP,0.286,0.186,,6526,Shell of Reminiscense,24.33,108.3,AP,0.287,0.2,,6514,Homunculus Baby,24.33,108.3,AP,0.419,0.307,,6534,Mystic Gunpowder,36.495,72.2,AP,0.379,0.234,,6533,Stake of Wailing Night,36.495,72.2,AP,0.379,0.237,,6549,Small Bell of Absolution,6.447,408.7,AP,0.071,0.041,,6005,Gem of Caster,3.893,676.9,AP,0.012,,,,,,,,,,,,6005,Gem of Caster,3.893,,,,,,-1,Blue Gems,24.33,,-6,XP,365
Intermediate,30.2,35,415,Lotto,8,,2.632,1.721,,6545,Divine Leyline Spiritron,17.56,172,AP,0.268,0.164,,6508,Ghost Lantern,18.05,167.3,AP,0.273,0.174,,6006,Gem of Assassin,26.59,113.6,AP,0.064,,,7006,Assassin Piece,14.63,206.4,AP,0.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",146,"23,730",,,30.5,8.2,6.3,188.8,,6543,Crown of Silvery Light,31.993,94.4,AP,0.328,0.213,,6526,Shell of Reminiscense,31.993,94.4,AP,0.329,0.23,,6514,Homunculus Baby,31.993,94.4,AP,0.481,0.352,,6534,Mystic Gunpowder,47.99,62.9,AP,0.435,0.268,,6533,Stake of Wailing Night,47.99,62.9,AP,0.435,0.272,,6549,Small Bell of Absolution,8.478,356.2,AP,0.081,0.047,,6005,Gem of Caster,5.119,590,AP,0.014,,,,,,,,,,,,6005,Gem of Caster,5.119,,,,,,-1,Blue Gems,31.993,,-6,XP,479.9
Advanced,34.28,40,615,Lotto,8,,2.639,1.785,,6535,Eternal Ice,48.16,71.2,AP,0.443,0.332,,6101,Magic Gem of Saber,18.21,188.2,AP,0.117,,,7101,Saber Monument,11.03,310.8,AP,0.159,,,6001,Gem of Saber,22.94,149.4,AP,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",187,"24,931",,,35.6,9.9,5.2,179.7,,6543,Crown of Silvery Light,38.153,89.8,AP,0.345,0.224,,6526,Shell of Reminiscense,38.153,89.8,AP,0.346,0.242,,6514,Homunculus Baby,38.153,89.8,AP,0.505,0.37,,6534,Mystic Gunpowder,57.23,59.9,AP,0.457,0.282,,6533,Stake of Wailing Night,57.23,59.9,AP,0.457,0.286,,6549,Small Bell of Absolution,10.111,339,AP,0.085,0.05,,6005,Gem of Caster,6.105,561.5,AP,0.014,,,,,,,,,,,,6005,Gem of Caster,6.105,,,,,,-1,Blue Gems,38.153,,-6,XP,572.3
Expert,33.45,40,815,Lotto,8,,3.548,2.3,,6553,Sun Leather,22.08,151.5,AP,0.296,0.215,,6511,Forbidden Page,21.62,154.7,AP,0.394,0.197,,6516,Evil Bone,50.64,66.1,AP,0.282,0.184,,6205,Secret Gem of Caster,14.68,227.9,AP,0.217,,,7105,Caster Monument,4.74,705.7,AP,0.069,,,6107,Magic Gem of Berserker,16.88,198.2,AP,0.111,,,7107,Berserker Monument,3.12,"1,072.10",AP,0.045,,,6007,Gem of Berserker,17.11,195.5,AP,0.035,,,7106,Assassin Monument,6.13,545.7,AP,0.089,,,7104,Rider Monument,3.93,851.1,AP,0.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",251,"29,244",,,35.7,11.9,4.6,153.2,,6543,Crown of Silvery Light,43.67,76.6,AP,0.405,0.263,,6526,Shell of Reminiscense,43.67,76.6,AP,0.406,0.283,,6514,Homunculus Baby,43.67,76.6,AP,0.593,0.434,,6534,Mystic Gunpowder,65.505,51.1,AP,0.537,0.33,,6533,Stake of Wailing Night,65.505,51.1,AP,0.537,0.335,,6549,Small Bell of Absolution,11.573,289,AP,0.1,0.058,,6005,Gem of Caster,6.987,478.7,AP,0.017,,,,,,,,,,,,6005,Gem of Caster,6.987,,,,,,-1,Blue Gems,43.67,,-6,XP,655.1
Powder: Day 1,31.69,40,915,Lotto,8,,5.069,3.207,,6529,Cursed Beast Gallstone,21.61,146.6,AP,1.072,0.554,,6535,Eternal Ice,22.75,139.3,AP,0.226,0.17,,6551,Twilit Ritual Sword,34.99,90.6,AP,0.32,0.201,,6205,Secret Gem of Caster,21.99,144.1,AP,0.343,,,7105,Caster Monument,21.22,149.3,AP,0.326,,,6105,Magic Gem of Caster,17.21,184.1,AP,0.096,,,6005,Gem of Caster,16.63,190.6,AP,0.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",297,"39,162",,,45.3,15.1,3.6,114.4,,6543,Crown of Silvery Light,55.403,57.2,AP,0.542,0.352,,6526,Shell of Reminiscense,55.403,57.2,AP,0.544,0.38,,6514,Homunculus Baby,55.403,57.2,AP,0.794,0.581,,6534,Mystic Gunpowder,83.105,38.1,AP,0.719,0.442,,6533,Stake of Wailing Night,83.105,38.1,AP,0.719,0.449,,6549,Small Bell of Absolution,14.682,215.8,AP,0.134,0.078,,6005,Gem of Caster,8.865,357.5,AP,0.023,,,,,,,,,,,,6005,Gem of Caster,8.865,,,,,,-1,Blue Gems,55.403,,-6,XP,831.1
Flake: Day 1,30.95,40,"1,098",Lotto,8,,5.292,3.413,,6519,Warhorse's Young Horn,31.54,98.1,AP,0.877,0.531,,6526,Shell of Reminiscense,29.12,106.3,AP,0.293,0.204,,6503,Proof of Hero,45.27,68.4,AP,0.274,0.133,,6101,Magic Gem of Saber,31.13,99.4,AP,0.222,,,7101,Saber Monument,26.02,118.9,AP,0.416,,,6001,Gem of Saber,27.99,110.6,AP,0.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",364,"43,681",,,49.4,16.5,3.3,102.6,,6543,Crown of Silvery Light,60.353,51.3,AP,0.605,0.393,,6526,Shell of Reminiscense,60.353,51.3,AP,0.606,0.423,,6514,Homunculus Baby,60.353,51.3,AP,0.885,0.648,,6534,Mystic Gunpowder,90.53,34.2,AP,0.801,0.493,,6533,Stake of Wailing Night,90.53,34.2,AP,0.801,0.501,,6549,Small Bell of Absolution,15.994,193.5,AP,0.149,0.087,,6005,Gem of Caster,9.657,320.5,AP,0.025,,,,,,,,,,,,6005,Gem of Caster,9.657,,,,,,-1,Blue Gems,60.353,,-6,XP,905.3
Powder: Day 2,31.67,40,915,Lotto,8,,4.83,3.186,,6528,Primordial Lanugo,26.72,118.5,AP,0.877,0.551,,6538,Soundless Bell,24.38,129.9,AP,0.242,0.159,,6535,Eternal Ice,25,126.7,AP,0.249,0.187,,6204,Secret Gem of Rider,20.31,155.9,AP,0.471,,,7104,Rider Monument,17.97,176.2,AP,0.28,,,6104,Magic Gem of Rider,15.31,206.9,AP,0.104,,,6004,Gem of Rider,16.72,189.4,AP,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",297,"39,290",,,45.5,15.2,3.6,114,,6543,Crown of Silvery Light,55.55,57,AP,0.544,0.353,,6526,Shell of Reminiscense,55.55,57,AP,0.546,0.381,,6514,Homunculus Baby,55.55,57,AP,0.796,0.583,,6534,Mystic Gunpowder,83.325,38,AP,0.721,0.444,,6533,Stake of Wailing Night,83.325,38,AP,0.721,0.45,,6549,Small Bell of Absolution,14.721,215.1,AP,0.134,0.078,,6005,Gem of Caster,8.888,356.3,AP,0.023,,,,,,,,,,,,6005,Gem of Caster,8.888,,,,,,-1,Blue Gems,55.55,,-6,XP,833.3
Flake: Day 2,30.94,40,"1,098",Lotto,8,,5.306,3.417,,6550,Scale of Fantasy,49.82,62.1,AP,0.746,0.46,,6508,Ghost Lantern,28.76,107.6,AP,0.425,0.27,,6503,Proof of Hero,46.46,66.6,AP,0.281,0.137,,6103,Magic Gem of Lancer,16.48,187.7,AP,0.107,,,7103,Lancer Monument,26.55,116.5,AP,0.41,,,6003,Gem of Lancer,28.77,107.5,AP,0.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",365,"43,748",,,49.4,16.5,3.3,102.4,,6543,Crown of Silvery Light,60.427,51.2,AP,0.605,0.393,,6526,Shell of Reminiscense,60.427,51.2,AP,0.607,0.424,,6514,Homunculus Baby,60.427,51.2,AP,0.887,0.649,,6534,Mystic Gunpowder,90.64,34.1,AP,0.803,0.494,,6533,Stake of Wailing Night,90.64,34.1,AP,0.803,0.501,,6549,Small Bell of Absolution,16.013,193.2,AP,0.15,0.087,,6005,Gem of Caster,9.668,320,AP,0.025,,,,,,,,,,,,6005,Gem of Caster,9.668,,,,,,-1,Blue Gems,60.427,,-6,XP,906.4
Powder: Day 3,31.81,40,915,Lotto,8,,5.115,3.304,,6548,Flaming Oni Lantern Plant,20.75,153.3,AP,1.023,0.627,,6547,Ball of Rainbow Thread,26.12,121.8,AP,0.375,0.23,,6551,Twilit Ritual Sword,36.14,88,AP,0.329,0.207,,6201,Secret Gem of Saber,23.26,136.8,AP,0.506,,,7101,Saber Monument,18.78,169.4,AP,0.292,,,6101,Magic Gem of Saber,16.82,189.1,AP,0.117,,,6001,Gem of Saber,17.89,177.8,AP,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",296,"38,446",,,44.7,14.9,3.7,116.5,,6543,Crown of Silvery Light,54.597,58.3,AP,0.532,0.346,,6526,Shell of Reminiscense,54.597,58.3,AP,0.534,0.373,,6514,Homunculus Baby,54.597,58.3,AP,0.779,0.57,,6534,Mystic Gunpowder,81.895,38.8,AP,0.705,0.434,,6533,Stake of Wailing Night,81.895,38.8,AP,0.705,0.441,,6549,Small Bell of Absolution,14.468,219.9,AP,0.131,0.077,,6005,Gem of Caster,8.735,364.1,AP,0.022,,,,,,,,,,,,6005,Gem of Caster,8.735,,,,,,-1,Blue Gems,54.597,,-6,XP,819
Flake: Day 3,30.92,40,"1,098",Lotto,8,,5.004,3.292,,6546,Fruit of Eternity,30.78,100.5,AP,0.367,0.263,,6545,Divine Leyline Spiritron,29.21,105.9,AP,0.436,0.267,,6527,Deadly Poison Needle,34.55,89.5,AP,0.34,0.208,,6103,Magic Gem of Lancer,32.47,95.2,AP,0.211,,,7103,Lancer Monument,25.83,119.7,AP,0.399,,,6003,Gem of Lancer,26.81,115.3,AP,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",365,"43,829",,,49.5,16.5,3.3,102.2,,6543,Crown of Silvery Light,60.5,51.1,AP,0.607,0.394,,6526,Shell of Reminiscense,60.5,51.1,AP,0.609,0.425,,6514,Homunculus Baby,60.5,51.1,AP,0.888,0.65,,6534,Mystic Gunpowder,90.75,34.1,AP,0.804,0.495,,6533,Stake of Wailing Night,90.75,34.1,AP,0.804,0.502,,6549,Small Bell of Absolution,16.033,192.9,AP,0.15,0.087,,6005,Gem of Caster,9.68,319.4,AP,0.025,,,,,,,,,,,,6005,Gem of Caster,9.68,,,,,,-1,Blue Gems,60.5,,-6,XP,907.5
Powder: Day 4,31.75,40,915,Lotto,8,,4.921,3.241,,6544,Fragment of a Twinkling Star,22.02,144.2,AP,1.041,0.656,,6543,Crown of Silvery Light,22.85,138.9,AP,0.223,0.145,,6535,Eternal Ice,23.96,132.5,AP,0.238,0.178,,6204,Secret Gem of Rider,20.72,153.2,AP,0.479,,,7104,Rider Monument,23.5,135.1,AP,0.365,,,6104,Magic Gem of Rider,33.02,96.2,AP,0.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",296,"38,803",,,45,15,3.6,115.5,,6543,Crown of Silvery Light,55,57.7,AP,0.537,0.349,,6526,Shell of Reminiscense,55,57.7,AP,0.539,0.376,,6514,Homunculus Baby,55,57.7,AP,0.786,0.576,,6534,Mystic Gunpowder,82.5,38.5,AP,0.712,0.438,,6533,Stake of Wailing Night,82.5,38.5,AP,0.712,0.445,,6549,Small Bell of Absolution,14.575,217.8,AP,0.133,0.077,,6005,Gem of Caster,8.8,360.8,AP,0.022,,,,,,,,,,,,6005,Gem of Caster,8.8,,,,,,-1,Blue Gems,55,,-6,XP,825
