Christmas 2026 w/ Ring,,Christmas Eve in Pohjola: The Dreamer Santa and the Nutcracker,,Lotto Drop Bonus:,,10,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Coaching from a Hero on a Business Trip,26.93,30,215,Lotto,10,,2.395,1.362,,6511,Forbidden Page,15.08,178.6,AP,0.341,0.155,,6102,Magic Gem of Archer,7.94,339.2,AP,0.059,,,7002,Archer Piece,10.32,260.9,AP,0.072,,,6002,Gem of Archer,14.29,188.5,AP,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",,89,"17,497",,,17.6,4.4,9.8,262.9,,6537,Giant's Ring,20.487,131.5,AP,0.342,0.193,,6538,Soundless Bell,20.487,131.5,AP,0.351,0.209,,6536,Aurora Steel,20.487,131.5,AP,0.347,0.213,,6552,Ash of Remembrance,30.730,87.6,AP,0.342,0.211,,6530,Mystic Spinal Fluid,30.730,87.6,AP,0.326,0.181,,6512,Dragon Fang,30.730,87.6,AP,0.286,0.168,,6502,Seed of Yggdrasil,4.507,597.5,AP,0.059,0.033,,6101,Magic Gem of Saber,1.434,"1,877.9",AP,0.012,,,,-1,Blue Gems,20.487,,-2,Red Gems,20.487,,-3,Gold Gems,10.243,,-6,XP,307.3
Case with Snowman Expert,30.08,35,415,Lotto,10,,3.356,1.969,,6543,Crown of Silvery Light,25.93,116.0,AP,0.412,0.239,,6107,Magic Gem of Berserker,9.63,312.4,AP,0.070,,,7007,Berserker Piece,16.3,184.5,AP,0.105,,,6007,Gem of Berserker,16.3,184.5,AP,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,146,"25,080",,,25.3,7.3,6.1,183.4,,6537,Giant's Ring,32.800,91.7,AP,0.491,0.276,,6538,Soundless Bell,32.800,91.7,AP,0.503,0.299,,6536,Aurora Steel,32.800,91.7,AP,0.497,0.306,,6552,Ash of Remembrance,49.200,61.1,AP,0.491,0.302,,6530,Mystic Spinal Fluid,49.200,61.1,AP,0.468,0.260,,6512,Dragon Fang,49.200,61.1,AP,0.411,0.241,,6502,Seed of Yggdrasil,7.216,416.9,AP,0.084,0.047,,6101,Magic Gem of Saber,2.296,"1,310.1",AP,0.017,,,,-1,Blue Gems,32.800,,-2,Red Gems,32.800,,-3,Gold Gems,16.400,,-6,XP,492.0
Until we Can See the Aurora,33.42,40,615,Lotto,10,,4.127,2.405,,6501,Phoenix Feather,37.05,90.2,AP,0.581,0.321,,6104,Magic Gem of Rider,14.29,233.9,AP,0.092,,,7104,Rider Monument,10.71,312.0,AP,0.160,,,6004,Gem of Rider,17.41,192.0,AP,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,192,"30,210",,,31.9,10.0,4.6,152.3,,6537,Giant's Ring,43.897,76.1,AP,0.591,0.333,,6538,Soundless Bell,43.897,76.1,AP,0.606,0.360,,6536,Aurora Steel,43.897,76.1,AP,0.599,0.368,,6552,Ash of Remembrance,65.845,50.8,AP,0.591,0.363,,6530,Mystic Spinal Fluid,65.845,50.8,AP,0.563,0.313,,6512,Dragon Fang,65.845,50.8,AP,0.495,0.290,,6502,Seed of Yggdrasil,9.657,346.1,AP,0.102,0.056,,6101,Magic Gem of Saber,3.073,"1,087.6",AP,0.020,,,,-1,Blue Gems,43.897,,-2,Red Gems,43.897,,-3,Gold Gems,21.948,,-6,XP,658.5
Christmas Tree World Share,32.84,40,715,Lotto,10,,4.569,2.702,,6554,Obsidian Knife,72.97,45.0,AP,0.642,0.394,,6003,Gem of Lancer,45.61,72.0,AP,0.117,,,7103,Lancer Monument,15.23,215.6,AP,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,225,"33,449",,,33.9,10.9,4.2,137.5,,6537,Giant's Ring,47.760,68.8,AP,0.654,0.369,,6538,Soundless Bell,47.760,68.8,AP,0.670,0.399,,6536,Aurora Steel,47.760,68.8,AP,0.663,0.408,,6552,Ash of Remembrance,71.640,45.8,AP,0.654,0.402,,6530,Mystic Spinal Fluid,71.640,45.8,AP,0.624,0.346,,6512,Dragon Fang,71.640,45.8,AP,0.548,0.321,,6502,Seed of Yggdrasil,10.507,312.5,AP,0.113,0.062,,6101,Magic Gem of Saber,3.343,982.3,AP,0.022,,,,-1,Blue Gems,47.760,,-2,Red Gems,47.760,,-3,Gold Gems,23.880,,-6,XP,716.4
Cornerstone of the Base's Defense,32.34,40,765,Lotto,10,,4.928,2.853,,6532,Refined Magatama,47.06,68.7,AP,0.664,0.347,,6105,Magic Gem of Caster,32.23,100.3,AP,0.176,,,7105,Caster Monument,20.72,156.1,AP,0.313,,,6005,Gem of Caster,35.29,91.6,AP,0.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",,244,"36,330",,,35.6,11.8,3.9,126.6,,6537,Giant's Ring,51.083,63.3,AP,0.711,0.400,,6538,Soundless Bell,51.083,63.3,AP,0.728,0.433,,6536,Aurora Steel,51.083,63.3,AP,0.720,0.443,,6552,Ash of Remembrance,76.625,42.2,AP,0.711,0.437,,6530,Mystic Spinal Fluid,76.625,42.2,AP,0.678,0.376,,6512,Dragon Fang,76.625,42.2,AP,0.595,0.349,,6502,Seed of Yggdrasil,11.238,287.8,AP,0.122,0.068,,6101,Magic Gem of Saber,3.576,904.4,AP,0.024,,,,-1,Blue Gems,51.083,,-2,Red Gems,51.083,,-3,Gold Gems,25.542,,-6,XP,766.3
Sequel: Cornerstone of the Base's Defense,32.19,40,815,Lotto,10,,5.144,3.036,,6541,Arrowhead of Malice,54.56,59.0,AP,0.775,0.468,,6102,Magic Gem of Archer,33.48,96.1,AP,0.208,,,7102,Archer Monument,18.38,175.1,AP,0.280,,,6002,Gem of Archer,32.06,100.4,AP,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,261,"37,219",,,36.1,12.0,3.8,123.6,,6537,Giant's Ring,52.090,61.8,AP,0.728,0.410,,6538,Soundless Bell,52.090,61.8,AP,0.746,0.444,,6536,Aurora Steel,52.090,61.8,AP,0.738,0.453,,6552,Ash of Remembrance,78.135,41.2,AP,0.728,0.448,,6530,Mystic Spinal Fluid,78.135,41.2,AP,0.694,0.385,,6512,Dragon Fang,78.135,41.2,AP,0.609,0.358,,6502,Seed of Yggdrasil,11.460,280.9,AP,0.125,0.070,,6101,Magic Gem of Saber,3.646,882.8,AP,0.025,,,,-1,Blue Gems,52.090,,-2,Red Gems,52.090,,-3,Gold Gems,26.045,,-6,XP,781.4
Pohjola Kitchen,31.86,40,865,Lotto,10,,5.853,3.363,,6546,Fruit of Eternity,23.85,133.6,AP,0.687,0.347,,6526,Shell of Reminiscence,39.02,81.7,AP,0.568,0.314,,6101,Magic Gem of Saber,30.89,103.1,AP,0.214,,,7101,Saber Monument,17.07,186.6,AP,0.262,,,6001,Gem of Saber,21.41,148.8,AP,0.050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900",,279,"39,168",,,37.6,12.5,3.7,117.4,,6537,Giant's Ring,54.257,58.7,AP,0.766,0.432,,6538,Soundless Bell,54.257,58.7,AP,0.785,0.467,,6536,Aurora Steel,54.257,58.7,AP,0.777,0.477,,6552,Ash of Remembrance,81.385,39.1,AP,0.766,0.471,,6530,Mystic Spinal Fluid,81.385,39.1,AP,0.731,0.405,,6512,Dragon Fang,81.385,39.1,AP,0.641,0.376,,6502,Seed of Yggdrasil,11.936,266.9,AP,0.132,0.073,,6101,Magic Gem of Saber,3.798,838.9,AP,0.026,,,,-1,Blue Gems,54.257,,-2,Red Gems,54.257,,-3,Gold Gems,27.128,,-6,XP,813.9
Large Snakes are in the Middle of a Dream,30.28,40,915,Lotto,10,,7.314,4.236,,6531,Mysterious Divine Wine,21.1,143.5,AP,0.988,0.514,,6533,Stake of Wailing Night,60.91,49.7,AP,0.549,0.327,,6206,Secret Gem of Assassin,21.71,139.5,AP,0.524,,,7106,Assassin Monument,21.32,142.0,AP,0.342,,,6106,Magic Gem of Assassin,23.71,127.7,AP,0.148,,,6006,Gem of Assassin,11.94,253.6,AP,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,310,"49,210",,,44.9,15.0,3.1,93.5,,6537,Giant's Ring,64.787,46.7,AP,0.963,0.542,,6538,Soundless Bell,64.787,46.7,AP,0.986,0.587,,6536,Aurora Steel,64.787,46.7,AP,0.976,0.600,,6552,Ash of Remembrance,97.180,31.2,AP,0.963,0.592,,6530,Mystic Spinal Fluid,97.180,31.2,AP,0.918,0.509,,6512,Dragon Fang,97.180,31.2,AP,0.806,0.473,,6502,Seed of Yggdrasil,14.253,212.4,AP,0.166,0.092,,6101,Magic Gem of Saber,4.535,667.7,AP,0.033,,,,-1,Blue Gems,64.787,,-2,Red Gems,64.787,,-3,Gold Gems,32.393,,-6,XP,971.8
Dragon Set Mass-Production Factory,29.28,40,"1,098",Lotto,10,,8.910,5.260,,6506,Dragon's Reverse Scale,26.37,111.0,AP,1.485,0.869,,6550,Scale of Fantasy,53.18,55.1,AP,0.835,0.519,,6207,Secret Gem of Berserker,25.87,113.2,AP,0.655,,,7107,Berserker Monument,26.48,110.6,AP,0.437,,,6107,Magic Gem of Berserker,33.97,86.2,AP,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,385,"56,131",,,49.5,16.5,2.8,82.0,,6537,Giant's Ring,71.457,41.0,AP,1.098,0.618,,6538,Soundless Bell,71.457,41.0,AP,1.125,0.669,,6536,Aurora Steel,71.457,41.0,AP,1.113,0.684,,6552,Ash of Remembrance,107.185,27.3,AP,1.098,0.675,,6530,Mystic Spinal Fluid,107.185,27.3,AP,1.047,0.581,,6512,Dragon Fang,107.185,27.3,AP,0.919,0.539,,6502,Seed of Yggdrasil,15.720,186.3,AP,0.189,0.105,,6101,Magic Gem of Saber,5.002,585.4,AP,0.038,,,,-1,Blue Gems,71.457,,-2,Red Gems,71.457,,-3,Gold Gems,35.728,,-6,XP,1071.9
