Christmas 2026 w/ Grease,,Christmas Eve in Pohjola: The Dreamer Santa and the Nutcracker,,Lotto Drop Bonus:,,4,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,359.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Coaching from a Hero on a Business Trip,28.24,30,215,Lotto,4,,1.642,0.935,,6511,Forbidden Page,15.08,187.3,AP,0.325,0.148,,6102,Magic Gem of Archer,7.94,355.7,AP,0.056,,,7002,Archer Piece,10.32,273.6,AP,0.068,,,6002,Gem of Archer,14.29,197.6,AP,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,400",,85,"9,534",,,17.6,4.4,17.1,482.5,,6521,Black Beast Grease,11.707,241.2,AP,0.384,0.234,,6538,Soundless Bell,11.707,241.2,AP,0.191,0.114,,6536,Aurora Steel,11.707,241.2,AP,0.189,0.116,,6552,Ash of Remembrance,17.560,160.8,AP,0.187,0.115,,6530,Mystic Spinal Fluid,17.560,160.8,AP,0.178,0.099,,6512,Dragon Fang,17.560,160.8,AP,0.156,0.092,,6502,Seed of Yggdrasil,2.575,"1,096.5",AP,0.032,0.018,,6101,Magic Gem of Saber,0.819,"3,446.1",AP,0.006,,,,-1,Blue Gems,11.707,,-2,Red Gems,11.707,,-3,Gold Gems,5.853,,-6,XP,175.6
Case with Snowman Expert,32.27,35,415,Lotto,4,,2.173,1.293,,6543,Crown of Silvery Light,25.93,124.5,AP,0.384,0.223,,6107,Magic Gem of Berserker,9.63,335.1,AP,0.066,,,7007,Berserker Piece,16.3,198.0,AP,0.098,,,6007,Gem of Berserker,16.3,198.0,AP,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,400",,136,"12,958",,,25.3,7.3,11.0,355.0,,6521,Black Beast Grease,18.180,177.5,AP,0.522,0.319,,6538,Soundless Bell,18.180,177.5,AP,0.260,0.155,,6536,Aurora Steel,18.180,177.5,AP,0.257,0.158,,6552,Ash of Remembrance,27.270,118.3,AP,0.254,0.156,,6530,Mystic Spinal Fluid,27.270,118.3,AP,0.242,0.134,,6512,Dragon Fang,27.270,118.3,AP,0.212,0.125,,6502,Seed of Yggdrasil,4.000,806.8,AP,0.044,0.024,,6101,Magic Gem of Saber,1.273,"2,535.8",AP,0.009,,,,-1,Blue Gems,18.180,,-2,Red Gems,18.180,,-3,Gold Gems,9.090,,-6,XP,272.7
Until we Can See the Aurora,36.41,40,615,Lotto,4,,2.621,1.543,,6501,Phoenix Feather,37.05,98.3,AP,0.533,0.295,,6104,Magic Gem of Rider,14.29,254.8,AP,0.085,,,7104,Rider Monument,10.71,340.0,AP,0.146,,,6004,Gem of Rider,17.41,209.1,AP,0.040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,400",,176,"15,121",,,31.9,10.0,8.4,304.2,,6521,Black Beast Grease,23.937,152.1,AP,0.609,0.372,,6538,Soundless Bell,23.937,152.1,AP,0.303,0.180,,6536,Aurora Steel,23.937,152.1,AP,0.300,0.184,,6552,Ash of Remembrance,35.905,101.4,AP,0.296,0.182,,6530,Mystic Spinal Fluid,35.905,101.4,AP,0.282,0.157,,6512,Dragon Fang,35.905,101.4,AP,0.248,0.145,,6502,Seed of Yggdrasil,5.266,691.4,AP,0.051,0.028,,6101,Magic Gem of Saber,1.676,"2,173.0",AP,0.010,,,,-1,Blue Gems,23.937,,-2,Red Gems,23.937,,-3,Gold Gems,11.968,,-6,XP,359.1
Christmas Tree World Share,36.12,40,715,Lotto,4,,2.859,1.719,,6554,Obsidian Knife,72.97,49.5,AP,0.584,0.359,,6003,Gem of Lancer,45.61,79.2,AP,0.106,,,7103,Lancer Monument,15.23,237.2,AP,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,400",,205,"16,480",,,33.9,10.9,7.7,279.1,,6521,Black Beast Grease,25.880,139.6,AP,0.663,0.405,,6538,Soundless Bell,25.880,139.6,AP,0.330,0.197,,6536,Aurora Steel,25.880,139.6,AP,0.327,0.201,,6552,Ash of Remembrance,38.820,93.0,AP,0.322,0.198,,6530,Mystic Spinal Fluid,38.820,93.0,AP,0.307,0.171,,6512,Dragon Fang,38.820,93.0,AP,0.270,0.158,,6502,Seed of Yggdrasil,5.694,634.4,AP,0.055,0.031,,6101,Magic Gem of Saber,1.812,"1,993.8",AP,0.011,,,,-1,Blue Gems,25.880,,-2,Red Gems,25.880,,-3,Gold Gems,12.940,,-6,XP,388.2
Cornerstone of the Base's Defense,35.87,40,765,Lotto,4,,3.037,1.770,,6532,Refined Magatama,47.06,76.2,AP,0.598,0.313,,6105,Magic Gem of Caster,32.23,111.3,AP,0.159,,,7105,Caster Monument,20.72,173.1,AP,0.282,,,6005,Gem of Caster,35.29,101.6,AP,0.081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,900",,220,"17,661",,,35.6,11.8,7.3,260.5,,6521,Black Beast Grease,27.543,130.2,AP,0.711,0.434,,6538,Soundless Bell,27.543,130.2,AP,0.354,0.211,,6536,Aurora Steel,27.543,130.2,AP,0.350,0.215,,6552,Ash of Remembrance,41.315,86.8,AP,0.346,0.213,,6530,Mystic Spinal Fluid,41.315,86.8,AP,0.329,0.183,,6512,Dragon Fang,41.315,86.8,AP,0.289,0.170,,6502,Seed of Yggdrasil,6.060,592.0,AP,0.059,0.033,,6101,Magic Gem of Saber,1.928,"1,860.4",AP,0.012,,,,-1,Blue Gems,27.543,,-2,Red Gems,27.543,,-3,Gold Gems,13.772,,-6,XP,413.2
Sequel: Cornerstone of the Base's Defense,35.79,40,815,Lotto,4,,3.186,1.909,,6541,Arrowhead of Malice,54.56,65.6,AP,0.697,0.421,,6102,Magic Gem of Archer,33.48,106.9,AP,0.187,,,7102,Archer Monument,18.38,194.7,AP,0.252,,,6002,Gem of Archer,32.06,111.6,AP,0.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,400",,235,"18,026",,,36.1,12.0,7.1,255.2,,6521,Black Beast Grease,28.050,127.6,AP,0.726,0.443,,6538,Soundless Bell,28.050,127.6,AP,0.361,0.215,,6536,Aurora Steel,28.050,127.6,AP,0.357,0.220,,6552,Ash of Remembrance,42.075,85.1,AP,0.353,0.217,,6530,Mystic Spinal Fluid,42.075,85.1,AP,0.336,0.187,,6512,Dragon Fang,42.075,85.1,AP,0.295,0.173,,6502,Seed of Yggdrasil,6.171,580.0,AP,0.061,0.034,,6101,Magic Gem of Saber,1.964,"1,822.8",AP,0.012,,,,-1,Blue Gems,28.050,,-2,Red Gems,28.050,,-3,Gold Gems,14.025,,-6,XP,420.8
Pohjola Kitchen,35.62,40,865,Lotto,4,,3.728,2.148,,6546,Fruit of Eternity,23.85,149.4,AP,0.615,0.310,,6526,Shell of Reminiscence,39.02,91.3,AP,0.508,0.281,,6101,Magic Gem of Saber,30.89,115.3,AP,0.192,,,7101,Saber Monument,17.07,208.7,AP,0.234,,,6001,Gem of Saber,21.41,166.4,AP,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,900",,250,"18,865",,,37.6,12.5,6.8,243.8,,6521,Black Beast Grease,29.217,121.9,AP,0.760,0.464,,6538,Soundless Bell,29.217,121.9,AP,0.378,0.225,,6536,Aurora Steel,29.217,121.9,AP,0.374,0.230,,6552,Ash of Remembrance,43.825,81.3,AP,0.369,0.227,,6530,Mystic Spinal Fluid,43.825,81.3,AP,0.352,0.195,,6512,Dragon Fang,43.825,81.3,AP,0.309,0.181,,6502,Seed of Yggdrasil,6.428,554.2,AP,0.064,0.035,,6101,Magic Gem of Saber,2.045,"1,741.7",AP,0.013,,,,-1,Blue Gems,29.217,,-2,Red Gems,29.217,,-3,Gold Gems,14.608,,-6,XP,438.3
Large Snakes are in the Middle of a Dream,34.77,40,915,Lotto,4,,4.525,2.638,,6531,Mysterious Divine Wine,21.1,164.8,AP,0.861,0.447,,6533,Stake of Wailing Night,60.91,57.1,AP,0.478,0.285,,6206,Secret Gem of Assassin,21.71,160.2,AP,0.456,,,7106,Assassin Monument,21.32,163.1,AP,0.298,,,6106,Magic Gem of Assassin,23.71,146.6,AP,0.129,,,6006,Gem of Assassin,11.94,291.2,AP,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,400",,270,"23,077",,,44.9,15.0,5.7,199.3,,6521,Black Beast Grease,34.887,99.7,AP,0.929,0.567,,6538,Soundless Bell,34.887,99.7,AP,0.463,0.275,,6536,Aurora Steel,34.887,99.7,AP,0.458,0.281,,6552,Ash of Remembrance,52.330,66.4,AP,0.452,0.278,,6530,Mystic Spinal Fluid,52.330,66.4,AP,0.430,0.239,,6512,Dragon Fang,52.330,66.4,AP,0.378,0.222,,6502,Seed of Yggdrasil,7.675,453.0,AP,0.078,0.043,,6101,Magic Gem of Saber,2.442,"1,423.8",AP,0.016,,,,-1,Blue Gems,34.887,,-2,Red Gems,34.887,,-3,Gold Gems,17.443,,-6,XP,523.3
Dragon Set Mass-Production Factory,34.23,40,"1,098",Lotto,4,,5.555,3.322,,6506,Dragon's Reverse Scale,26.37,129.8,AP,1.270,0.743,,6550,Scale of Fantasy,53.18,64.4,AP,0.715,0.444,,6207,Secret Gem of Berserker,25.87,132.3,AP,0.560,,,7107,Berserker Monument,26.48,129.3,AP,0.374,,,6107,Magic Gem of Berserker,33.97,100.8,AP,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,280",,330,"25,853",,,49.5,16.5,5.2,177.9,,6521,Black Beast Grease,38.477,89.0,AP,1.041,0.636,,6538,Soundless Bell,38.477,89.0,AP,0.518,0.308,,6536,Aurora Steel,38.477,89.0,AP,0.513,0.315,,6552,Ash of Remembrance,57.715,59.3,AP,0.506,0.311,,6530,Mystic Spinal Fluid,57.715,59.3,AP,0.482,0.268,,6512,Dragon Fang,57.715,59.3,AP,0.423,0.248,,6502,Seed of Yggdrasil,8.465,404.4,AP,0.087,0.048,,6101,Magic Gem of Saber,2.693,"1,270.9",AP,0.017,,,,-1,Blue Gems,38.477,,-2,Red Gems,38.477,,-3,Gold Gems,19.238,,-6,XP,577.2
