Grand Duel Extra II,,Grand Duel Extra II,,Lotto Drop Bonus:,,5,,,,,Apple AP Buyback?:,X,,,,,,,Event Run Caps:,,,,,,,,Raid Run Caps:,,,,,,,,Special Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,AP,AP,Bond,Type,Lotto,Lotto,Total Eff,T. Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),QP,Base,Drop,QP/AP,Box,Eff,,Avg Lot,# Lot,R/Box,AP/Box,,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,ID,Material,Drop%,APD,,Eff,Eff (min),,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%,,ID,Material,Drop%
Extra II (Wind) I,40,40,"3,164",Event,5,,2.569,0.552,,6563,Reliquary of Departed Souls,22.33,179.1,AP,0.479,0.092,,6544,Fragment of a Twinkling Star,9.71,411.9,AP,0.358,0.069,,6531,Mysterious Divine Wine,6.31,633.9,AP,0.224,0.047,,6523,Lamp of Evil-Sealing,7.77,514.8,AP,0.078,0.046,,6507,Claw of Chaos,8.25,484.8,AP,0.191,0.037,,6547,Ball of Rainbow Thread,18.93,211.3,AP,0.216,0.046,,6538,Soundless Bell,17.96,222.7,AP,0.141,0.030,,6532,Refined Magatama,10.68,374.5,AP,0.122,0.026,,6508,Ghost Lantern,16.02,249.7,AP,0.183,0.039,,6551,Ceremonial Sword of Twilight,23.79,168.1,AP,0.172,0.036,,6533,Stake of Wailing Night,24.76,161.6,AP,0.170,0.036,,6527,Deadly Poison Needle,16.02,249.7,AP,0.122,0.026,,6503,Proof of Hero,24.27,164.8,AP,0.113,0.024,,,Secret Gems of Cavalry/Berserker,8.25,484.8,AP,,,,,Cavalry Monuments,18.69,214.0,AP,,,,,Cavalry Pieces,6.31,633.9,AP,,,,,Magic Gems of Cavalry,10.68,374.5,AP,,,,,Gems of Cavalry,6.8,588.2,AP,,,,,,,,,,,,,,,,,,,,"31,890","2,086,990",52972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra II (Wind) II,40,40,"3,385",Event,5,,2.592,0.565,,6563,Reliquary of Departed Souls,24.79,161.4,AP,0.532,0.102,,6544,Fragment of a Twinkling Star,6.3,634.9,AP,0.232,0.045,,6531,Mysterious Divine Wine,5.88,680.3,AP,0.208,0.044,,6523,Lamp of Evil-Sealing,9.66,414.1,AP,0.097,0.057,,6507,Claw of Chaos,8.4,476.2,AP,0.195,0.037,,6547,Ball of Rainbow Thread,18.91,211.5,AP,0.216,0.046,,6538,Soundless Bell,16.81,238.0,AP,0.132,0.028,,6532,Refined Magatama,16.81,238.0,AP,0.192,0.040,,6508,Ghost Lantern,15.97,250.5,AP,0.182,0.038,,6551,Ceremonial Sword of Twilight,26.05,153.6,AP,0.189,0.040,,6533,Stake of Wailing Night,21.01,190.4,AP,0.144,0.030,,6527,Deadly Poison Needle,23.11,173.1,AP,0.176,0.037,,6503,Proof of Hero,21.01,190.4,AP,0.098,0.021,,,Secret Gems of Cavalry/Berserker,8.93,447.9,AP,,,,,Cavalry Monuments,19.23,208.0,AP,,,,,Cavalry Pieces,5.78,692.0,AP,,,,,Magic Gems of Cavalry,11.98,333.9,AP,,,,,Gems of Cavalry,9.14,437.6,AP,,,,,,,,,,,,,,,,,,,,"34,100","2,414,412",61213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra II (Wind) III,40,40,"3,622",Event,5,,2.984,0.634,,6563,Reliquary of Departed Souls,26.67,150.0,AP,0.572,0.110,,6544,Fragment of a Twinkling Star,8.1,493.8,AP,0.299,0.057,,6531,Mysterious Divine Wine,5.24,763.4,AP,0.186,0.039,,6523,Lamp of Evil-Sealing,6.67,599.7,AP,0.067,0.040,,6507,Claw of Chaos,10.48,381.7,AP,0.243,0.047,,6547,Ball of Rainbow Thread,20.48,195.3,AP,0.234,0.049,,6538,Soundless Bell,19.52,204.9,AP,0.153,0.032,,6532,Refined Magatama,16.19,247.1,AP,0.185,0.039,,6508,Ghost Lantern,26.19,152.7,AP,0.299,0.063,,6551,Ceremonial Sword of Twilight,28.57,140.0,AP,0.207,0.044,,6533,Stake of Wailing Night,32.86,121.7,AP,0.225,0.047,,6527,Deadly Poison Needle,24.76,161.6,AP,0.188,0.040,,6503,Proof of Hero,27.14,147.4,AP,0.127,0.027,,,Secret Gems of Cavalry/Berserker,11.19,357.5,AP,,,,,Cavalry Monuments,17.98,222.5,AP,,,,,Cavalry Pieces,7.02,569.8,AP,,,,,Magic Gems of Cavalry,14.64,273.2,AP,,,,,Gems of Cavalry,9.29,430.6,AP,,,,,,,,,,,,,,,,,,,,"36,470","2,698,333",68370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra II (Wind) IV,40,40,"3,876",Event,5,,3.269,0.711,,6563,Reliquary of Departed Souls,33.77,118.4,AP,0.724,0.139,,6544,Fragment of a Twinkling Star,8.29,482.5,AP,0.306,0.059,,6531,Mysterious Divine Wine,6.25,640.0,AP,0.222,0.047,,6523,Lamp of Evil-Sealing,11.78,339.6,AP,0.118,0.070,,6507,Claw of Chaos,9.5,421.1,AP,0.220,0.042,,6547,Ball of Rainbow Thread,24.28,164.7,AP,0.277,0.058,,6538,Soundless Bell,21.88,182.8,AP,0.171,0.036,,6532,Refined Magatama,20.07,199.3,AP,0.229,0.048,,6508,Ghost Lantern,21.27,188.1,AP,0.243,0.051,,6551,Ceremonial Sword of Twilight,31.85,125.6,AP,0.231,0.049,,6533,Stake of Wailing Night,27.76,144.1,AP,0.190,0.040,,6527,Deadly Poison Needle,25.36,157.7,AP,0.193,0.041,,6503,Proof of Hero,31.01,129.0,AP,0.145,0.031,,,Secret Gems of Cavalry/Berserker,12.17,328.7,AP,,,,,Cavalry Monuments,19.26,207.7,AP,,,,,Cavalry Pieces,5.74,696.9,AP,,,,,Magic Gems of Cavalry,13.73,291.3,AP,,,,,Gems of Cavalry,10.67,374.9,AP,,,,,,,,,,,,,,,,,,,,"39,010","3,038,750",76944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra II (Wind) V,40,40,"4,147",Event,5,,3.431,0.744,,6563,Reliquary of Departed Souls,35.02,114.2,AP,0.751,0.144,,6544,Fragment of a Twinkling Star,7.89,507.0,AP,0.291,0.056,,6531,Mysterious Divine Wine,9.15,437.2,AP,0.324,0.068,,6523,Lamp of Evil-Sealing,11.36,352.1,AP,0.114,0.068,,6507,Claw of Chaos,7.57,528.4,AP,0.175,0.034,,6547,Ball of Rainbow Thread,28.71,139.3,AP,0.328,0.069,,6538,Soundless Bell,22.08,181.2,AP,0.173,0.036,,6532,Refined Magatama,18.3,218.6,AP,0.209,0.044,,6508,Ghost Lantern,22.71,176.1,AP,0.259,0.055,,6551,Ceremonial Sword of Twilight,30.28,132.1,AP,0.220,0.046,,6533,Stake of Wailing Night,35.96,111.2,AP,0.246,0.052,,6527,Deadly Poison Needle,29.65,134.9,AP,0.225,0.047,,6503,Proof of Hero,24.61,162.5,AP,0.115,0.024,,,Secret Gems of Cavalry/Berserker,12.46,321.0,AP,,,,,Cavalry Monuments,18.3,218.6,AP,,,,,Cavalry Pieces,6.7,597.0,AP,,,,,Magic Gems of Cavalry,16.09,248.6,AP,,,,,Gems of Cavalry,11.12,359.7,AP,,,,,,,,,,,,,,,,,,,,"41,720","3,369,937",85291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra II (Wind) VI,40,40,"4,438",Event,5,,3.849,0.835,,6563,Reliquary of Departed Souls,38.44,104.1,AP,0.825,0.158,,6544,Fragment of a Twinkling Star,9.19,435.3,AP,0.339,0.065,,6531,Mysterious Divine Wine,8.42,475.1,AP,0.298,0.063,,6523,Lamp of Evil-Sealing,13.32,300.3,AP,0.133,0.079,,6507,Claw of Chaos,11.18,357.8,AP,0.259,0.050,,6547,Ball of Rainbow Thread,27.26,146.7,AP,0.311,0.066,,6538,Soundless Bell,26.65,150.1,AP,0.209,0.044,,6532,Refined Magatama,23.12,173.0,AP,0.264,0.056,,6508,Ghost Lantern,22.97,174.1,AP,0.262,0.055,,6551,Ceremonial Sword of Twilight,34.76,115.1,AP,0.252,0.053,,6533,Stake of Wailing Night,37.98,105.3,AP,0.260,0.055,,6527,Deadly Poison Needle,34.61,115.6,AP,0.263,0.055,,6503,Proof of Hero,37.06,107.9,AP,0.173,0.037,,,Secret Gems of Cavalry/Berserker,13.71,291.8,AP,,,,,Cavalry Monuments,19.79,202.1,AP,,,,,Cavalry Pieces,5.21,767.8,AP,,,,,Magic Gems of Cavalry,15.89,251.7,AP,,,,,Gems of Cavalry,12.18,328.4,AP,,,,,,,,,,,,,,,,,,,,"44,630","3,654,242",92472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
Extra II (Wind) VII,40,40,"4,748",Event,5,,4.258,0.920,,6563,Reliquary of Departed Souls,40.17,99.6,AP,0.862,0.166,,6544,Fragment of a Twinkling Star,11.53,346.9,AP,0.425,0.082,,6531,Mysterious Divine Wine,10.19,392.5,AP,0.361,0.076,,6523,Lamp of Evil-Sealing,13.7,292.0,AP,0.137,0.081,,6507,Claw of Chaos,13.73,291.3,AP,0.318,0.061,,6547,Ball of Rainbow Thread,30.18,132.5,AP,0.345,0.073,,6538,Soundless Bell,26.7,149.8,AP,0.209,0.044,,6532,Refined Magatama,26.05,153.6,AP,0.297,0.063,,6508,Ghost Lantern,26.1,153.3,AP,0.298,0.063,,6551,Ceremonial Sword of Twilight,40.23,99.4,AP,0.292,0.061,,6533,Stake of Wailing Night,38.21,104.7,AP,0.262,0.055,,6527,Deadly Poison Needle,35.92,111.4,AP,0.273,0.058,,6503,Proof of Hero,38.29,104.5,AP,0.179,0.038,,,Secret Gems of Cavalry/Berserker,14.27,280.3,AP,,,,,Cavalry Monuments,19.23,208.0,AP,,,,,Cavalry Pieces,5.77,693.2,AP,,,,,Magic Gems of Cavalry,16.76,238.7,AP,,,,,Gems of Cavalry,11.41,350.6,AP,,,,,,,,,,,,,,,,,,,,"47,730","3,959,077",100170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,
,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6,XP,